CID,a
53036,0.3125136433093211
53144,0.005143527614058066
54337,0.003629120279414975
54745,0.0003001528050643964
63071,0.23164974896310847
63072,0.5068625845885179
63079,0.5557602051953722
63090,0.3426653569089718
63093,0.3757230953940188
63098,0.44144291639380046
63106,0.4026004147566034
63108,0.32723477406679763
63110,0.3053918358437022
66041,0.004270355817507095
66686,0.0
66793,0.00013643309321108928
67043,0.003629120279414975
67052,0.000559375682165466
68057,0.009181947173106308
68067,0.00021829294913774285
69043,0.0
69137,0.00020464963981663392
69156,0.0003410827330277232
69675,0.00017736302117441605
69925,0.0015553372626064177
73765,0.8412055228116132
74381,0.027177472167648983
74417,0.0035472604234883212
74681,0.01006876227897839
76701,0.0078039729316743064
76838,0.0018009168303863784
77455,0.0105462781052172
77470,0.007121807465618859
78540,0.002114712944771884
79221,0.0078039729316743064
79786,0.0015280506439641997
80277,0.023125409299279632
81546,0.0014189041693953284
85653,0.0004638725169177035
86102,0.00799497926216983
86210,0.002278432656625191
86260,0.7850496616459289
87689,0.0019782798515607944
91648,0.6235810958306046
91664,0.0010232481990831695
91693,0.021092556210434404
91718,0.4026004147566034
91720,0.09434348395546824
91722,0.6093784108273302
92358,0.024216874044968348
92407,0.1272920759659463
92428,0.0667839991268282
93322,0.6235810958306046
93576,4.092992796332678e-05
94144,0.06376882776686313
95170,0.05427308447937131
122087,0.0019373499235974677
137784,0.0011460379829731498
139495,0.003806483300589391
140334,0.007285527177472167
140972,0.012688277668631304
141724,0.001118751364330932
177368,0.029810630866623004
519267,0.005921196245361274
521342,0.010314341846758349
521958,0.012988430473695701
605753,0.002619515389652914
969491,0.06020792403405369
2748018,0.0052663173979480464
3078139,0.015266863130320892
3086172,0.006794368041912246
4146024,0.003806483300589391
9570290,0.00940024012224405
12110098,0.024216874044968348
12302799,0.04022047587862912
12310947,0.031938987120716
12358480,0.06020792403405369
14402350,0.02478989303645492
15509898,0.14614712944771885
15509899,0.060903732809430254
22810197,0.009509386596812922
44135738,0.011310303427199303
53422841,0.0015280506439641997
53425803,0.012688277668631304
138394051,0.21619187950229207
